"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"R7,R27,R5,R12,R6,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"270";;;
2;"J25";"PinSocket_1x06_P2.54mm_Vertical";1;"BME";;;
3;"RV1";"Potentiometer_Alps_RK163_Single_Horizontal";1;"R_Potentiometer";;;
4;"J20";"PinHeader_1x04_P2.54mm_Vertical";1;"GND_Analog";;;
5;"J30";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo";;;
6;"J13,J15,J17,J3,J18";"PinHeader_2x04_P2.54mm_Vertical";5;"Conn_02x04_Odd_Even";;;
7;"D3,D1,D12,D4,D2";"LED_D5.0mm";5;"LED";;;
8;"SW4";"SW_PUSH_6mm";1;"SW_Down";;;
9;"J4,J5";"PinSocket_2x15_P2.54mm_Vertical";2;"Right_Connector";;;
10;"J19";"PinHeader_1x04_P2.54mm_Vertical";1;"Analog_Inputs";;;
11;"J16";"PinHeader_2x03_P2.54mm_Vertical";1;"I2C_Selector";;;
12;"J6,J12,J8,J9,J11,J10";"PinHeader_2x15_P2.54mm_Vertical";6;"Right_Connector";;;
13;"J7";"PinHeader_2x15_P2.54mm_Vertical";1;"Left_Connector";;;
14;"JP7";"PinHeader_1x02_P2.54mm_Vertical";1;"Jumper";;;
15;"J33";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
16;"SW2";"SW_PUSH_6mm";1;"SW_Up";;;
17;"R1,R2,R3,R16,R15,R4,R9,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";8;"10k";;;
18;"J23";"PinSocket_1x04_P2.54mm_Vertical";1;"HC-SR";;;
19;"T1,T4";"TestPoint_Pad_1.0x1.0mm";2;"TestPoint";;;
20;"J21";"PinHeader_1x04_P2.54mm_Vertical";1;"+3.3V_Analog";;;
21;"U2";"DIP-4_W7.62mm";1;"PC817";;;
22;"J35";"PinHeader_1x04_P2.54mm_Vertical";1;"SPI_Connector";;;
23;"SW3";"SW_PUSH_6mm";1;"SW_Right";;;
24;"D5";"D_A-405_P7.62mm_Horizontal";1;"D";;;
25;"U1";"TSSOP-10_3x3mm_P0.5mm";1;"ADS1115IDGS";;;
26;"J29";"PinSocket_1x06_P2.54mm_Vertical";1;"Conn_01x06_Socket";;;
27;"J36";"PinHeader_1x03_P2.54mm_Vertical";1;"Power_Selector";;;
28;"J24";"PinSocket_1x06_P2.54mm_Vertical";1;"BME_VIRTUAL";;;
29;"J26";"PinHeader_1x03_P2.54mm_Vertical";1;"Addr_Selector";;;
30;"J37";"PinHeader_1x01_P2.54mm_Vertical";1;"Sig_MOSFET";;;
31;"J1";"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal";1;"Screw_Terminal_01x04";;;
32;"C17";"C_Radial_D5.0mm_H11.0mm_P2.00mm";1;"100nF";;;
33;"J32";"PinHeader_1x03_P2.54mm_Vertical";1;"Power_Servo_Selector";;;
34;"J27";"PinHeader_1x02_P2.54mm_Vertical";1;"SIG_HCSR04";;;
35;"Y2";"Crystal_AT310_D3.0mm_L10.0mm_Horizontal";1;"16MHz";;;
36;"Q1";"TO-220-3_Vertical";1;"IRF520";;;
37;"SW1";"SW_PUSH_6mm";1;"SW_Left";;;
38;"C1";"C_0603_1608Metric";1;"100nF";;;
39;"J14";"PinSocket_1x04_P2.54mm_Vertical";1;"OLED_SOCKET";;;
40;"J28";"PinHeader_1x02_P2.54mm_Vertical";1;"SIG_HC-05";;;
41;"R11";"R_LDR_5.1x4.3mm_P3.4mm_Vertical";1;"R11";;;
42;"J34";"PinHeader_1x01_P2.54mm_Vertical";1;"Sig_Servo";;;
43;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
44;"U14";"DIP-8_W7.62mm";1;"DS1307+";;;
